cmip,model,x,y
5,ACCESS1.0,0.45,3.83
5,ACCESS1.3,0.54,3.53
5,BNU-ESM,0.35,3.92
5,CCSM4,0.39,2.94
5,CNRM-CM5,0.38,3.25
5,CNRM-CM5.2,0.4,3.44
5,CSIRO-Mk3.6.0,0.61,4.08
5,CanESM2,0.3,3.69
5,FGOALS-g2,0.29,3.38
5,GFDL-CM3,0.33,3.97
5,GFDL-ESM2G,0.3,2.39
5,GFDL-ESM2M,0.25,2.44
5,GISS-E2-H,0.32,2.31
5,GISS-E2-R,0.32,2.11
5,HadGEM2-ES,0.43,4.61
5,IPSL-CM5A-LR,0.41,4.13
5,IPSL-CM5A-MR,0.48,4.12
5,IPSL-CM5B-LR,0.25,2.6
5,MIROC-ESM,0.33,4.67
5,MIROC5,0.36,2.72
5,MPI-ESM-LR,0.41,3.63
5,MPI-ESM-MR,0.42,3.46
5,MPI-ESM-P,0.41,3.45
5,MRI-CGCM3,0.37,2.6
5,NorESM1-M,0.44,2.8
5,BCC-CSM1.1,0.37,2.83
5,BCC-CSM1.1(m),0.34,2.86
5,INM-CM4,0.19,2.08
6,ACCESS-CM2,0.42,4.72
6,ACCESS-ESM1.5,0.44,3.87
6,AWI-CM1.1-MR,0.42,3.16
6,BCC-CSM2-MR,0.54,3.04
6,BCC-ESM1,0.46,3.26
6,CAMS-CSM1.0,0.47,2.29
6,CAS-ESM2.0,0.31,3.51
6,CESM2,0.49,5.16
6,CESM2-FV2,0.45,5.14
6,CESM2-WACCM,0.55,4.75
6,CESM2-WACCM-FV2,,4.79
6,CMCC-CM2-SR5,0.5,3.52
6,CNRM-CM6.1,0.3,4.83
6,CNRM-CM6.1-HR,0.34,4.28
6,CNRM-ESM2.1,0.3,4.76
6,CanESM5,0.48,5.62
6,E3SM1.0,0.46,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,0.31,3.0
6,FGOALS-g3,0.36,2.88
6,GISS-E2.1-G,0.26,2.72
6,GISS-E2.1-H,0.24,3.11
6,HadGEM3-GC3.1-LL,0.46,5.55
6,HadGEM3-GC3.1-MM,,5.42
6,INM-CM4.8,0.47,1.83
6,INM-CM5.0,0.4,1.92
6,IPSL-CM6A-LR,0.5,4.56
6,KACE1.0-G,0.41,4.48
6,MCM-UA1.0,,3.65
6,MIROC-ES2L,0.36,2.68
6,MIROC6,0.46,2.61
6,MPI-ESM1.2-HAM,0.42,2.96
6,MPI-ESM1.2-HR,0.45,2.98
6,MPI-ESM1.2-LR,0.39,3.0
6,MRI-ESM2.0,0.39,3.15
6,NESM3,0.52,4.72
6,NorCPM1,0.45,3.05
6,NorESM2-LM,0.46,2.54
6,NorESM2-MM,0.52,2.5
6,SAM0-UNICON,0.54,3.72
6,TaiESM1,0.48,4.31
6,UKESM1.0-LL,0.48,5.34
