cmip,model,x,y
3,CCCMA-CGCM3.1,-1.554887269028649,3.4
3,GISS-E-R,0.22222749618579396,2.7
3,IAP-FGOALS1.0-g,0.25569079505000847,2.3
3,INM-CM3.0,0.12112561451093384,2.1
3,IPSL-CM4,-0.5388845567045264,4.4
3,MIROC3.2-MEDRES,-0.10125105950161073,4.0
3,MPI-ECHAM5,-0.6060484827936938,3.4
3,MRI-CGCM2.3.2a,0.30814036277335166,3.2
3,NCAR-CCSM3.0,-0.23652822512290195,2.7
3,NCAR-PCM1,0.17998304797423348,2.1
3,UKMO-HadCM3,-0.8747041871503645,3.3
5,ACCESS1.0,-2.32,3.83
5,ACCESS1.3,-2.11,3.53
5,BNU-ESM,,3.92
5,CCSM4,0.0,2.94
5,CNRM-CM5,-0.4,3.25
5,CNRM-CM5.2,,3.44
5,CSIRO-Mk3.6.0,-0.79,4.08
5,CanESM2,-1.18,3.69
5,FGOALS-g2,-0.54,3.38
5,GFDL-CM3,-2.33,3.97
5,GFDL-ESM2G,-2.43,2.39
5,GFDL-ESM2M,-2.64,2.44
5,GISS-E2-H,-0.27,2.31
5,GISS-E2-R,-0.21,2.11
5,HadGEM2-ES,-1.54,4.61
5,IPSL-CM5A-LR,-1.08,4.13
5,IPSL-CM5A-MR,-0.95,4.12
5,IPSL-CM5B-LR,-1.9,2.6
5,MIROC-ESM,0.07,4.67
5,MIROC5,0.41,2.72
5,MPI-ESM-LR,0.07,3.63
5,MPI-ESM-MR,-0.04,3.46
5,MPI-ESM-P,0.06,3.45
5,MRI-CGCM3,0.4,2.6
5,NorESM1-M,0.51,2.8
5,BCC-CSM1.1,0.41,2.83
5,BCC-CSM1.1(m),0.66,2.86
5,INM-CM4,0.75,2.08
6,ACCESS-CM2,,4.72
6,ACCESS-ESM1.5,,3.87
6,AWI-CM1.1-MR,,3.16
6,BCC-CSM2-MR,-0.1,3.04
6,BCC-ESM1,-0.22,3.26
6,CAMS-CSM1.0,-0.36,2.29
6,CAS-ESM2.0,-0.06,3.51
6,CESM2,-2.39,5.16
6,CESM2-FV2,-2.44,5.14
6,CESM2-WACCM,-2.14,4.75
6,CESM2-WACCM-FV2,,4.79
6,CMCC-CM2-SR5,-1.0,3.52
6,CNRM-CM6.1,,4.83
6,CNRM-CM6.1-HR,,4.28
6,CNRM-ESM2.1,,4.76
6,CanESM5,,5.62
6,E3SM1.0,-3.11,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,,3.0
6,FGOALS-g3,1.06,2.88
6,GISS-E2.1-G,-0.07,2.72
6,GISS-E2.1-H,0.0,3.11
6,HadGEM3-GC3.1-LL,-2.66,5.55
6,HadGEM3-GC3.1-MM,,5.42
6,INM-CM4.8,,1.83
6,INM-CM5.0,,1.92
6,IPSL-CM6A-LR,,4.56
6,KACE1.0-G,,4.48
6,MCM-UA1.0,,3.65
6,MIROC-ES2L,-0.14,2.68
6,MIROC6,-1.08,2.61
6,MPI-ESM1.2-HAM,-0.73,2.96
6,MPI-ESM1.2-HR,-0.16,2.98
6,MPI-ESM1.2-LR,-0.42,3.0
6,MRI-ESM2.0,-1.35,3.15
6,NESM3,-0.62,4.72
6,NorCPM1,,3.05
6,NorESM2-LM,-1.25,2.54
6,NorESM2-MM,-1.03,2.5
6,SAM0-UNICON,-1.85,3.72
6,TaiESM1,-1.89,4.31
6,UKESM1.0-LL,-2.72,5.34
