cmip,model,x,y
6,ACCESS-CM2,,4.72
6,ACCESS-ESM1.5,,3.87
6,AWI-CM1.1-MR,,3.16
6,BCC-CSM2-MR,-0.1,3.04
6,BCC-ESM1,-0.22,3.26
6,CAMS-CSM1.0,-0.36,2.29
6,CAS-ESM2.0,-0.06,3.51
6,CESM2,-2.39,5.16
6,CESM2-FV2,-2.44,5.14
6,CESM2-WACCM,-2.14,4.75
6,CESM2-WACCM-FV2,,4.79
6,CMCC-CM2-SR5,-1.0,3.52
6,CNRM-CM6.1,,4.83
6,CNRM-CM6.1-HR,,4.28
6,CNRM-ESM2.1,,4.76
6,CanESM5,,5.62
6,E3SM1.0,-3.11,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,,3.0
6,FGOALS-g3,1.06,2.88
6,GISS-E2.1-G,-0.07,2.72
6,GISS-E2.1-H,0.0,3.11
6,HadGEM3-GC3.1-LL,-2.66,5.55
6,HadGEM3-GC3.1-MM,,5.42
6,INM-CM4.8,,1.83
6,INM-CM5.0,,1.92
6,IPSL-CM6A-LR,,4.56
6,KACE1.0-G,,4.48
6,MCM-UA1.0,,3.65
6,MIROC-ES2L,-0.14,2.68
6,MIROC6,-1.08,2.61
6,MPI-ESM1.2-HAM,-0.73,2.96
6,MPI-ESM1.2-HR,-0.16,2.98
6,MPI-ESM1.2-LR,-0.42,3.0
6,MRI-ESM2.0,-1.35,3.15
6,NESM3,-0.62,4.72
6,NorCPM1,,3.05
6,NorESM2-LM,-1.25,2.54
6,NorESM2-MM,-1.03,2.5
6,SAM0-UNICON,-1.85,3.72
6,TaiESM1,-1.89,4.31
6,UKESM1.0-LL,-2.72,5.34
