cmip,model,x,y
6,ACCESS-CM2,-35.14,4.72
6,ACCESS-ESM1.5,-35.0,3.87
6,AWI-CM1.1-MR,-35.43,3.16
6,BCC-CSM2-MR,-36.12,3.04
6,BCC-ESM1,-36.18,3.26
6,CAMS-CSM1.0,-35.38,2.29
6,CAS-ESM2.0,-30.53,3.51
6,CESM2,-36.22,5.16
6,CESM2-FV2,-36.88,5.14
6,CESM2-WACCM,-36.43,4.75
6,CESM2-WACCM-FV2,-36.57,4.79
6,CMCC-CM2-SR5,-37.48,3.52
6,CNRM-CM6.1,-34.5,4.83
6,CNRM-CM6.1-HR,-33.41,4.28
6,CNRM-ESM2.1,-34.83,4.76
6,CanESM5,-35.5,5.62
6,E3SM1.0,-35.59,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,-33.4,3.0
6,FGOALS-g3,-34.57,2.88
6,GISS-E2.1-G,-36.24,2.72
6,GISS-E2.1-H,-36.95,3.11
6,HadGEM3-GC3.1-LL,-35.75,5.55
6,HadGEM3-GC3.1-MM,-35.09,5.42
6,INM-CM4.8,-38.15,1.83
6,INM-CM5.0,-37.34,1.92
6,IPSL-CM6A-LR,-33.74,4.56
6,KACE1.0-G,-34.95,4.48
6,MCM-UA1.0,,3.65
6,MIROC-ES2L,-34.13,2.68
6,MIROC6,-34.9,2.61
6,MPI-ESM1.2-HAM,-35.21,2.96
6,MPI-ESM1.2-HR,-34.6,2.98
6,MPI-ESM1.2-LR,-34.76,3.0
6,MRI-ESM2.0,-33.39,3.15
6,NESM3,-36.77,4.72
6,NorCPM1,-37.45,3.05
6,NorESM2-LM,-36.17,2.54
6,NorESM2-MM,-36.55,2.5
6,SAM0-UNICON,-36.41,3.72
6,TaiESM1,-36.8,4.31
6,UKESM1.0-LL,-35.67,5.34
